//Splice recipes (GTWiki parser by mar4ello6)
//Format: itemID(result)|ingredient1|ingredient2
16|11|3
12|3|15
20|11|15
28|25|5
22|17|3
36|17|177
26|13|3
30|13|55
24|13|21
34|167|57
38|165|191
42|11|167
40|15|185
56|5|11
48|179|11
50|283|191
58|55|53
46|193|103
44|17|171
54|57|53
52|17|13
62|167|187
72|167|193
74|195|181
76|13|167
68|3|185
70|163|175
78|119|165
60|31|163
66|167|195
64|107|31
92|185|201
82|189|177
94|163|105
84|193|177
98|61|15
80|171|115
86|183|29
90|175|17
88|183|191
96|197|171
102|17|101
104|11|13
100|3|5
114|63|55
118|117|167
110|53|175
132|175|65
116|11|17
106|27|185
122|171|195
108|53|169
152|115|23
134|65|101
136|115|17
120|187|115
138|55|171
126|163|5
142|195|17
124|171|193
130|5|171
128|175|115
172|117|189
154|189|115
146|55|175
156|199|115
140|185|17
158|115|101
162|29|105
144|57|169
192|189|191
150|179|115
176|117|17
174|117|23
160|5|187
166|117|15
178|117|57
148|55|59
182|171|181
164|117|11
170|117|5
212|179|193
180|117|197
168|117|195
186|61|183
198|53|23
196|193|195
194|15|17
218|107|103
190|17|5
184|3|117
214|167|175
232|169|193
216|169|175
200|177|179
188|191|23
238|5|169
210|167|169
234|171|169
230|107|169
252|109|31
208|15|119
224|13|31
236|5|165
246|301|65
222|103|101
220|65|181
258|169|115
254|221|187
266|167|61
272|223|17
240|221|115
256|115|261
250|249|175
286|249|261
270|27|17
292|299|183
248|5|167
260|175|187
264|169|219
298|187|249
306|309|287
294|299|181
282|169|173
296|299|185
290|299|167
312|321|195
268|183|265
280|195|219
318|263|261
284|55|249
326|309|225
314|253|321
302|285|281
310|247|55
316|301|223
300|231|111
332|331|3
288|231|57
338|329|171
304|283|285
346|127|177
334|327|309
322|255|167
336|165|11
330|193|163
358|179|361
308|183|173
324|255|165
352|197|183
354|337|25
342|199|195
356|173|23
328|197|57
344|299|63
372|195|3
378|3|57
374|3|105
320|287|167
370|3|101
376|3|21
348|189|129
398|381|325
340|261|287
406|399|197
382|323|225
368|3|23
418|415|11
412|377|169
414|413|181
360|281|173
410|359|329
416|415|163
426|413|185
402|399|285
404|399|195
438|231|177
432|181|379
380|15|5
436|333|369
430|429|285
446|339|361
422|421|163
458|223|31
452|61|187
424|421|11
400|399|265
454|23|327
